sensorcount,timestamp,hr
1.6460435781e+12,2022-02-28 11:19:38.098000,69
1.64604357835e+12,2022-02-28 11:19:38.345000,69
1.64604357859e+12,2022-02-28 11:19:38.591000,69
1.64604357884e+12,2022-02-28 11:19:38.837000,69
1.64604357908e+12,2022-02-28 11:19:39.083000,69
1.64604357933e+12,2022-02-28 11:19:39.330000,69
1.64604357958e+12,2022-02-28 11:19:39.576000,69
1.64604357982e+12,2022-02-28 11:19:39.822000,69
1.64604358007e+12,2022-02-28 11:19:40.069000,69
1.64604358032e+12,2022-02-28 11:19:40.315000,68
1.64604358056e+12,2022-02-28 11:19:40.561000,68
1.64604358081e+12,2022-02-28 11:19:40.808000,68
1.64604358106e+12,2022-02-28 11:19:41.054000,69
1.6460435813e+12,2022-02-28 11:19:41.300000,69
1.64604358155e+12,2022-02-28 11:19:41.546000,69
1.64604358179e+12,2022-02-28 11:19:41.792000,70
1.64604358204e+12,2022-02-28 11:19:42.038000,70
1.64604358229e+12,2022-02-28 11:19:42.285000,70
1.64604358253e+12,2022-02-28 11:19:42.532000,70
1.64604358278e+12,2022-02-28 11:19:42.778000,69
1.64604358303e+12,2022-02-28 11:19:43.024000,69
1.64604358327e+12,2022-02-28 11:19:43.270000,69
1.64604358352e+12,2022-02-28 11:19:43.516000,69
1.64604358376e+12,2022-02-28 11:19:43.762000,68
1.64604358401e+12,2022-02-28 11:19:44.009000,68
1.64604358426e+12,2022-02-28 11:19:44.255000,68
1.6460435845e+12,2022-02-28 11:19:44.501000,67
1.64604358475e+12,2022-02-28 11:19:44.748000,67
1.646043585e+12,2022-02-28 11:19:44.994000,67
1.64604358524e+12,2022-02-28 11:19:45.240000,67
1.64604358549e+12,2022-02-28 11:19:45.487000,67
1.64604358573e+12,2022-02-28 11:19:45.733000,67
1.64604358598e+12,2022-02-28 11:19:45.979000,67
1.64604358623e+12,2022-02-28 11:19:46.226000,67
1.64604358647e+12,2022-02-28 11:19:46.472000,66
1.64604358672e+12,2022-02-28 11:19:46.718000,66
1.64604358696e+12,2022-02-28 11:19:46.964000,66
1.64604358721e+12,2022-02-28 11:19:47.210000,66
1.64604358746e+12,2022-02-28 11:19:47.456000,67
1.6460435877e+12,2022-02-28 11:19:47.703000,67
1.64604358795e+12,2022-02-28 11:19:47.949000,67
1.6460435882e+12,2022-02-28 11:19:48.195000,67
1.64604358844e+12,2022-02-28 11:19:48.442000,67
1.64604358869e+12,2022-02-28 11:19:48.688000,67
1.64604358894e+12,2022-02-28 11:19:48.934000,67
1.64604358918e+12,2022-02-28 11:19:49.181000,68
1.64604358943e+12,2022-02-28 11:19:49.427000,68
1.64604358967e+12,2022-02-28 11:19:49.674000,68
1.64604358992e+12,2022-02-28 11:19:49.920000,70
1.64604359017e+12,2022-02-28 11:19:50.166000,70
1.64604359041e+12,2022-02-28 11:19:50.412000,70
1.64604359066e+12,2022-02-28 11:19:50.658000,71
1.64604359091e+12,2022-02-28 11:19:50.904000,71
1.64604359115e+12,2022-02-28 11:19:51.151000,71
1.6460435914e+12,2022-02-28 11:19:51.397000,71
1.64604359164e+12,2022-02-28 11:19:51.643000,71
1.64604359189e+12,2022-02-28 11:19:51.890000,71
1.64604359214e+12,2022-02-28 11:19:52.136000,71
1.64604359238e+12,2022-02-28 11:19:52.382000,72
1.64604359263e+12,2022-02-28 11:19:52.628000,72
1.64604359288e+12,2022-02-28 11:19:52.875000,72
1.64604359312e+12,2022-02-28 11:19:53.121000,73
1.64604359337e+12,2022-02-28 11:19:53.367000,73
1.64604359361e+12,2022-02-28 11:19:53.614000,73
1.64604359386e+12,2022-02-28 11:19:53.860000,73
1.64604359411e+12,2022-02-28 11:19:54.106000,71
1.64604359435e+12,2022-02-28 11:19:54.353000,71
1.6460435946e+12,2022-02-28 11:19:54.599000,71
1.64604359485e+12,2022-02-28 11:19:54.845000,70
1.64604359509e+12,2022-02-28 11:19:55.092000,70
1.64604359534e+12,2022-02-28 11:19:55.337000,70
1.64604359558e+12,2022-02-28 11:19:55.583000,70
1.64604359583e+12,2022-02-28 11:19:55.830000,69
1.64604359608e+12,2022-02-28 11:19:56.076000,69
1.64604359632e+12,2022-02-28 11:19:56.322000,69
1.64604359657e+12,2022-02-28 11:19:56.569000,69
1.64604359682e+12,2022-02-28 11:19:56.815000,69
1.64604359706e+12,2022-02-28 11:19:57.061000,69
1.64604359731e+12,2022-02-28 11:19:57.307000,69
1.64604359755e+12,2022-02-28 11:19:57.553000,68
1.6460435978e+12,2022-02-28 11:19:57.800000,68
1.64604359805e+12,2022-02-28 11:19:58.046000,68
1.64604359829e+12,2022-02-28 11:19:58.292000,68
